param n := 2;

param t_max := 19;

param S_ini := 1 0.000
 2 0.000;

param S_max := 1 4
 2 4;

param price_W := 1 0.026
 2 0.036
 3 0.039
 4 0.042
 5 0.041
 6 0.037
 7 0.034
 8 0.034
 9 0.034
 10 0.037
 11 0.034
 12 0.044
 13 0.052
 14 0.049
 15 0.044
 16 0.037
 17 0.034
 18 0.029
 19 0.025;

param price_R := 1 0.056
 2 0.079
 3 0.085
 4 0.091
 5 0.090
 6 0.081
 7 0.075
 8 0.075
 9 0.075
 10 0.081
 11 0.075
 12 0.216
 13 0.235
 14 0.227
 15 0.216
 16 0.081
 17 0.075
 18 0.064
 19 0.055;

param B := 1 0.0049
 2 0.0049
 3 0.0049
 4 0.0049
 5 0.0049
 6 0.0049
 7 0.0049
 8 0.0049
 9 0.0049
 10 0.0049
 11 0.0049
 12 0.0049
 13 0.0049
 14 0.0049
 15 0.0049
 16 0.0049
 17 0.0049
 18 0.0049
 19 0.0049;

param G : 1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19:=
 1 0.000  0.000  0.000  0.000  0.009  0.105  0.126  0.062  0.027  0.017  0.021  0.000  0.000  0.000  0.000  0.000  0.000  0.000 0.000
 2 0.000  0.000  0.000  0.016  0.453  1.000  1.498  2.038  2.181  1.575  0.812  1.055  0.080  0.000  0.000  0.000  0.000  0.000 0.000;

param D : 1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19:=
 1 0.096  0.222  0.240  0.111  1.731  0.318  0.360  0.279  0.339  0.315  0.300  0.339  0.315  0.348  0.228  0.219  0.987  0.369 0.126
 2 0.394  0.328  0.592  0.670  0.519  0.344  0.326  0.646  0.660  0.567  0.550  0.365  0.599  0.483  0.732  0.379  0.448  0.544 0.496;

param niu := 0.90;

